date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:05:48	98384/98384	---M--	200	added ('OK')	font/woff	date:Mon,%2030%20May%202022%2013:31:05%20GMT	https://onceawaken.com/web/assets/plugins/fontawesome/webfonts/fa-solid-900.woff	C:/Users/Asus/Downloads/template/onceawaken.com/web/assets/plugins/fontawesome/webfonts/fa-solid-900.woff	(from https://onceawaken.com/web/assets/plugins/fontawesome/css/all.min.css)
10:05:48	65112/65112	---M--	200	added ('OK')	font/ttf	date:Mon,%2030%20May%202022%2013:31:05%20GMT	https://onceawaken.com/web/assets/fonts/Feather144f.ttf?sdxovp	C:/Users/Asus/Downloads/template/onceawaken.com/web/assets/fonts/Feather144f144f.ttf	(from https://onceawaken.com/web/assets/css/feather.css)
10:05:48	192472/192472	---M--	200	added ('OK')	font/ttf	date:Mon,%2030%20May%202022%2013:31:05%20GMT	https://onceawaken.com/web/assets/plugins/fontawesome/webfonts/fa-solid-900.ttf	C:/Users/Asus/Downloads/template/onceawaken.com/web/assets/plugins/fontawesome/webfonts/fa-solid-900.ttf	(from https://onceawaken.com/web/assets/plugins/fontawesome/css/all.min.css)
10:05:48	842605/842605	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2030%20May%202022%2013:31:05%20GMT	https://onceawaken.com/web/assets/plugins/fontawesome/webfonts/fa-solid-900.svg	C:/Users/Asus/Downloads/template/onceawaken.com/web/assets/plugins/fontawesome/webfonts/fa-solid-900.svg	(from https://onceawaken.com/web/assets/plugins/fontawesome/css/all.min.css)
10:05:49	65188/65188	---M--	200	added ('OK')	font/woff	date:Mon,%2030%20May%202022%2013:31:05%20GMT	https://onceawaken.com/web/assets/fonts/Feather144f.woff?sdxovp	C:/Users/Asus/Downloads/template/onceawaken.com/web/assets/fonts/Feather144f144f.woff	(from https://onceawaken.com/web/assets/css/feather.css)
10:05:49	222023/222023	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2030%20May%202022%2013:31:05%20GMT	https://onceawaken.com/web/assets/fonts/Feather144f.svg?sdxovp	C:/Users/Asus/Downloads/template/onceawaken.com/web/assets/fonts/Feather144f144f.svg	(from https://onceawaken.com/web/assets/css/feather.css)
10:05:49	196/196	---M--	200	added ('OK')	text/html	date:Mon,%2030%20May%202022%2013:31:05%20GMT	https://onceawaken.com/web/assets/css/owl.video.play.html	C:/Users/Asus/Downloads/template/onceawaken.com/web/assets/css/owl.video.play.html	(from https://onceawaken.com/web/assets/css/owl.carousel.min.css)
10:05:50	44300/44300	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20May%202022%2013:31:05%20GMT	https://onceawaken.com/web/assets/fonts/MaterialIcons-Regular.html	C:/Users/Asus/Downloads/template/onceawaken.com/web/assets/fonts/MaterialIcons-Regular.html	(from https://onceawaken.com/web/assets/css/style.css)
10:05:50	143258/143258	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2030%20May%202022%2013:31:05%20GMT	https://onceawaken.com/web/assets/fonts/MaterialIcons-Regular.eot	C:/Users/Asus/Downloads/template/onceawaken.com/web/assets/fonts/MaterialIcons-Regular.eot	(from https://onceawaken.com/web/assets/css/style.css)
10:05:50	219/219	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2030%20May%202022%2013:31:05%20GMT	https://onceawaken.com/web/assets/img/icons/tick-icon.svg	C:/Users/Asus/Downloads/template/onceawaken.com/web/assets/img/icons/tick-icon.svg	(from https://onceawaken.com/web/assets/css/style.css)
10:05:50	57620/57620	---M--	200	added ('OK')	font/woff	date:Mon,%2030%20May%202022%2013:31:05%20GMT	https://onceawaken.com/web/assets/fonts/MaterialIcons-Regular.woff	C:/Users/Asus/Downloads/template/onceawaken.com/web/assets/fonts/MaterialIcons-Regular.woff	(from https://onceawaken.com/web/assets/css/style.css)
10:05:50	128180/128180	---M--	200	added ('OK')	font/ttf	date:Mon,%2030%20May%202022%2013:31:05%20GMT	https://onceawaken.com/web/assets/fonts/MaterialIcons-Regular.ttf	C:/Users/Asus/Downloads/template/onceawaken.com/web/assets/fonts/MaterialIcons-Regular.ttf	(from https://onceawaken.com/web/assets/css/style.css)
10:05:50	496/496	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2030%20May%202022%2013:31:05%20GMT	https://onceawaken.com/web/assets/img/icons/down-arrow-gray.svg	C:/Users/Asus/Downloads/template/onceawaken.com/web/assets/img/icons/down-arrow-gray.svg	(from https://onceawaken.com/web/assets/css/style.css)
10:05:51	496/496	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2030%20May%202022%2013:31:05%20GMT	https://onceawaken.com/web/assets/img/icons/down-arrow-gray-dark.svg	C:/Users/Asus/Downloads/template/onceawaken.com/web/assets/img/icons/down-arrow-gray-dark.svg	(from https://onceawaken.com/web/assets/css/style.css)
